id_cnpj,cd_cnae_prin,BASE,Atividade,Setor,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
7d247fe03e33597f53ac72d3f116d88b8650dc71fe64a05a041f40f5f0b88c02,4789099,47,Varejo,Comércio,MG,6.784.867.709.908.050,6.143.736.601.034.190,837,153.000,860,0,946,987
94b004a34f41e8ebf97623417f1462be470ca1b3d954370dfa2e26ed4be1870d,2222600,22,Borracha e plástico,Indústria,SC,9.388.478.904.404.250,9.571.657.850.330.020,934,########,960,20.913,980,988
d0636f5f5307d2b073c07a114e07bd1ebd7e6170287ffd15f0a91607433c391d,4530703,45,Veículos,Comércio,,8.923.549.834.245.570,9.497.576.286.453.400,885,########,970,4.234,953,985
5ca4c6e13f085d9cb991def42e2684c62e8d985dd1c9f817aea58ec986810e68,1412601,14,Vestuário,Indústria,SP,7.057.847.630.589.250,9.887.477.194.826.070,919,########,940,0,972,985
e0967d72e88d50d8df24cff7c36cb4ff2a98a2b1d60b7d44d4a7ce3f7c267530,2790299,27,Materiais elétricos,Indústria,SP,1.000,,959,285.000,970,0,967,988
d1ca1ad56892ad3eebc00b4222c6977ac0afb2d112f15c59af850dd1f83db41b,4711302,47,Varejo,Comércio,PR,9.817.763.726.256.950,,966,106.250,930,758,984,989
6fd4ae78ba7a85efbc1c17f9b167d9e50c8a2e952933b9a68727633a9b3369fa,4782201,47,Varejo,Comércio,RJ,9.264.843.014.805.390,,921,147.500,910,3.376,975,989
df22d93d079ea97c49c10ca28d670097ea9c76862629381b134467650d3ba3c3,4772500,47,Varejo,Comércio,RJ,5.468.082.572.257.360,,804,########,870,25.386,948,988
4fb62b085edb7eb3f87dfac1972ab36c140dace0fec7a9d901a43b046cbd5945,1539400,15,Couro e calçados,Indústria,RS,5.710.633.180.894.710,6.574.325.344.596.650,484,########,650,1.386,463,969
6d400687cbcca0628fd60eb356599f4574e20eaf8b8982351c6f363f6254efe8,5240101,52,Armazenagem,Transporte e Logística,SP,9.326.763.852.161.020,8.211.392.381.456.660,733,44.800,810,9.535,894,988
d7eed0b3b94c305368842242e0f7f07d93c97de018a5f216a094dbe1b03f3449,4712100,47,Varejo,Comércio,BA,8.414.348.990.541.190,,820,190.100,890,17.858,959,989
e4c476a3e01784309ca3fd7d59dc6319bfd86fc62f18852ec0aca688ba7f151a,4330404,43,Serviços especializados,Construção,SP,951.622.287.695.425,,790,214.500,930,50.234,956,985
bba8c27704d429a444abc8ef487c00cae651db28450e5fd9fe8bd85667a1fe09,4772500,47,Varejo,Comércio,SP,9.312.450.349.720.070,,921,220.900,960,0,959,986
